id,name,type,distance,moving_time,elapsed_time,start_date,average_speed,max_speed,snapshot_date
13431274956,12. Bieg,Run,7046.0,2253,2253,2025-01-23T12:27:40Z,3.127,4.314,2025-07-10T19:10:08.027381
13445179856,13. Bieg (with Papa),Run,8546.5,3731,3731,2025-01-25T06:40:45Z,2.291,3.396,2025-07-14T06:19:30.873683
13463151507,14. Bieg,Run,7584.2,2458,2458,2025-01-27T05:23:43Z,3.086,4.018,2025-07-14T06:19:30.873683
13480776320,15. Bieg,Run,7033.9,2324,2324,2025-01-29T05:08:23Z,3.027,3.965,2025-07-21T06:19:38.396858
13498479701,16. Bieg,Run,7613.9,2598,2598,2025-01-31T05:12:48Z,2.931,3.607,2025-07-28T06:20:58.719808
13515686568,17. Bieg,Run,15518.6,5239,5247,2025-02-02T05:27:52Z,2.962,4.603,2025-07-28T06:20:58.719808
13534018536,18. Bieg,Run,7366.7,2326,2326,2025-02-04T05:03:05Z,3.167,4.558,2025-07-28T06:20:58.719808
13552802627,19. Bieg,Run,7051.1,2308,2308,2025-02-06T05:12:36Z,3.055,3.966,2025-07-28T06:20:58.719808
13575727387,20. Bieg,Run,7036.0,2115,2115,2025-02-08T18:43:45Z,3.327,4.263,2025-07-28T06:20:58.719808
13590023096,21. Bieg,Run,7029.8,2183,2183,2025-02-10T12:23:36Z,3.22,4.228,2025-07-28T06:20:58.719808
13605393690,22. Bieg,Run,7039.1,2338,2338,2025-02-12T05:08:38Z,3.011,3.721,2025-07-28T06:20:58.719808
13622473677,23. Bieg,Run,7058.3,2324,2324,2025-02-14T05:37:56Z,3.037,5.249,2025-07-28T06:20:58.719808
13642500565,24. Bieg,Run,7361.5,2318,2318,2025-02-16T12:24:38Z,3.176,4.195,2025-07-28T06:20:58.719808
13657086533,25. Bieg,Run,7036.9,2349,2349,2025-02-18T05:10:46Z,2.996,4.179,2025-07-28T06:20:58.719808
13699049432,26. Bieg,Run,7041.6,2246,2246,2025-02-22T20:14:47Z,3.135,5.505,2025-07-28T06:20:58.719808
13716465049,27. Bieg,Run,7037.0,2344,2344,2025-02-24T18:48:58Z,3.002,3.591,2025-07-28T06:20:58.719808
13760265075,28. Bieg,Run,7049.8,2412,2422,2025-03-01T14:55:56Z,2.923,4.64,2025-07-28T06:20:58.719808
13790202096,29. Bieg,Run,7045.8,2408,2408,2025-03-04T19:40:48Z,2.926,4.03,2025-07-28T06:20:58.719808
13808862436,30. Bieg,Run,7029.3,2293,2293,2025-03-06T20:11:27Z,3.066,4.001,2025-07-28T06:20:58.719808
13826838963,31. Bieg,Run,7035.9,2433,2433,2025-03-08T19:04:00Z,2.892,3.752,2025-08-04T06:25:06.481371
13845826044,32. Bieg,Run,7044.8,2363,2363,2025-03-10T19:25:29Z,2.981,3.675,2025-08-11T06:20:26.496027
13858915120,33. Bieg,Run,7028.6,2308,2308,2025-03-12T05:57:12Z,3.045,4.657,2025-08-11T06:20:26.496027
13877465291,34. Bieg,Run,7030.2,2390,2396,2025-03-14T05:07:52Z,2.941,3.721,2025-09-15T06:18:32.738430
13894703468,35. Bieg,Run,8622.0,2871,2871,2025-03-16T06:08:04Z,3.003,4.075,2025-10-13T06:19:04.791567
13913284762,36. Bieg,Run,7037.9,2343,2343,2025-03-18T05:38:33Z,3.004,5.553,2025-10-13T06:19:04.791567
13942168417,37. Bieg,Run,7027.4,2401,2401,2025-03-21T05:13:10Z,2.927,5.167,2025-10-13T06:19:04.791567
13969987171,38. Bieg,Run,7040.5,2505,2505,2025-03-24T05:07:00Z,2.811,3.85,2025-10-13T06:19:04.791567
13989293481,39. Bieg,Run,7023.3,2460,2460,2025-03-26T05:22:10Z,2.855,3.987,2025-10-13T06:19:04.791567
14033673265,40. Bieg,Run,7040.2,2291,2291,2025-03-30T19:23:31Z,3.073,4.441,2025-10-13T06:19:04.791567
14103480711,41. Bieg,Run,7033.4,2414,2414,2025-04-07T04:45:17Z,2.914,3.932,2025-10-13T06:19:04.791567
14219273662,42. Bieg,Run,7035.1,2447,2447,2025-04-09T04:30:53Z,2.875,3.571,2025-10-13T06:19:04.791567
14428838160,45. Bieg,Run,7025.8,2453,2453,2025-05-09T19:23:14Z,2.864,3.816,2025-10-13T06:19:04.791567
14439578832,46. Bieg,Run,7032.0,2482,2482,2025-05-10T19:32:08Z,2.833,3.606,2025-10-13T06:19:04.791567
14446540773,47. Bieg,Run,7661.3,2846,2866,2025-05-11T12:26:50Z,2.692,3.476,2025-10-13T06:19:04.791567
14452659727,48. Bieg,Run,7025.4,2505,2505,2025-05-12T04:17:42Z,2.805,3.649,2025-10-13T06:19:04.791567
14462989879,49. Bieg,Run,7037.8,2372,2372,2025-05-13T04:32:30Z,2.967,3.718,2025-10-13T06:19:04.791567
14474596205,50. Bieg,Run,7034.6,2403,2411,2025-05-14T04:39:05Z,2.927,3.915,2025-10-13T06:19:04.791567
14492013243,51. Bieg,Run,7042.1,2382,2382,2025-05-15T18:53:19Z,2.956,3.993,2025-10-13T06:19:04.791567
14512136712,52. Bieg,Run,7046.1,2271,2275,2025-05-17T19:32:23Z,3.103,3.964,2025-10-13T06:19:04.791567
14521975798,53. Bieg,Run,7039.9,2392,2392,2025-05-18T16:47:42Z,2.943,3.82,2025-10-13T06:19:04.791567
14528625206,54. Bieg,Run,7025.8,2453,2453,2025-05-19T04:15:11Z,2.864,3.783,2025-10-13T06:19:04.791567
